ID_UC;Código UC;Informações Gerais;Nome da UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano de Criação;Ano do ato legal mais recente;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Órgão Gestor;Fonte da Área: (1 = SHP, 0 = Ato legal);Área soma biomas;Área soma Biomas Continental;Área Ato Legal de Criação;Bioma Área (ha);Amazônia;Caatinga;Cerrado;Mata Atlântica;Pampa;Pantanal;Área Marinha;Bioma declarado;% Além da linha de costa;Grupo;PI;US;Recortes (ha);Mar Territorial;Município Costeiro;Município Costeiro + Área Marinha;Programa/Projeto;Sítios do Patrimônio Mundial;Sítios Ramsar;Mosaico;Reserva da Biosfera;Qualidade dos dados georreferenciados;Código WDPA;Data da publicação no CNUC;Data da última certificação dos dados pelo Órgão Gestor
1.066;0000.00.1066;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARQUE DOS PÁSSAROS;Federal;Reserva Particular do Patrimônio Natural;Category IV;SP;2002;2002;Portaria 60 de 18/04/2002;Sem informação.;BRAGANÇA PAULISTA (SP);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;0;175;175;175;;0;0;175;0;0;0;0;Cerrado;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;Cinturão Verde da Cidade de São Paulo,Mata Atlântica;Polígono é uma estimativa dos limites da UC;555682636;26/08/2011 16:00:32;sexta-feira, 26 de agosto de 2011
1.067;0000.00.1067;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA PALMIRA;Federal;Reserva Particular do Patrimônio Natural;Category IV;SP;2001;2001;Portaria 156 de 24/10/2001;Sem informação.;SERRA AZUL (SP);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;0;242;242;242;;0;0;242;0;0;0;0;Cerrado;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;;Polígono é uma estimativa dos limites da UC;555682647;26/08/2011 16:00:32;sexta-feira, 26 de agosto de 2011
1.068;0000.00.1068;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO RYAN;Federal;Reserva Particular do Patrimônio Natural;Category IV;SP;1993;1993;Portaria 112/93-N de 20/10/1993;Sem informação.;ITAPEVI (SP);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;0;19;19;19;;0;0;0;19;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;;Polígono é uma representação esquemática da localização da UC;555682709;26/08/2011 16:00:32;sexta-feira, 26 de agosto de 2011
1.069;0000.00.1069;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO SABIUNA;Federal;Reserva Particular do Patrimônio Natural;Category IV;SP;1995;1995;Portaria 58/1995-N de 22/08/1995;Sem informação.: Sem informação.;JOANÓPOLIS (SP);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;0;50;50;50;;0;0;0;50;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;;Polígono é uma representação esquemática da localização da UC;555682710;26/08/2011 16:00:32;sexta-feira, 26 de agosto de 2011
1.070;0000.00.1070;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TOQUE TOQUE PEQUENO;Federal;Reserva Particular do Patrimônio Natural;Category IV;SP;2000;2000;Portaria 9-N de 18/02/2000;Sem informação.;SÃO SEBASTIÃO (SP);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;3;3;3;;0;0;0;3;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;1;1;;;;;Mata Atlântica;Polígono é uma estimativa dos limites da UC;555682624;26/08/2011 16:00:32;sexta-feira, 26 de agosto de 2011
1.071;0000.00.1071;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOTURUNA II;Federal;Reserva Particular do Patrimônio Natural;Category IV;SP;1994;1994;Portaria 123/94-N de 14/11/1994;Sem informação.;SANTANA DE PARNAÍBA (SP);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;58;58;58;;0;0;0;58;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;Cinturão Verde da Cidade de São Paulo,Mata Atlântica;Polígono é uma estimativa dos limites da UC;555682631;26/08/2011 16:00:32;sexta-feira, 26 de agosto de 2011
1.072;0000.00.1072;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOTURUNA V;Federal;Reserva Particular do Patrimônio Natural;Category IV;SP;1994;1994;Portaria 113-N de 21/10/1994;Sem informação.;PIRAPORA DO BOM JESUS (SP);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;56;56;64;;0;0;0;56;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;Cinturão Verde da Cidade de São Paulo,Mata Atlântica;Polígono é uma estimativa dos limites da UC;555682638;26/08/2011 16:00:33;sexta-feira, 26 de agosto de 2011
1.073;0000.00.1073;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SERRINHA;Federal;Reserva Particular do Patrimônio Natural;Category IV;SP;2001;2001;Portaria 154 de 24/10/2001;Sem informação.: Sem informação.;BRAGANÇA PAULISTA (SP);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;15;15;15;;0;0;0;15;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;Cinturão Verde da Cidade de São Paulo,Mata Atlântica;Polígono corresponde ao memorial descritivo;555600231;26/08/2011 16:00:33;sexta-feira, 26 de agosto de 2011
1.074;0000.00.1074;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ECOWORLD;Federal;Reserva Particular do Patrimônio Natural;Category IV;SP;1999;1999;Portaria 64 de 19/07/1999;Sem informação.;ATIBAIA (SP);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;51;51;51;;0;0;0;51;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;Cinturão Verde da Cidade de São Paulo,Mata Atlântica;Polígono é uma estimativa dos limites da UC;555682630;26/08/2011 16:00:33;sexta-feira, 26 de agosto de 2011
1.075;0000.00.1075;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CARBOCLORO S/A;Federal;Reserva Particular do Patrimônio Natural;Category IV;SP;1992;1993;Portaria 145/92-N de 30/12/1992;Sem informação.;CUBATÃO (SP);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;1;1;1;;0;0;0;1;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;1;1;;;;;Cinturão Verde da Cidade de São Paulo,Mata Atlântica;Polígono é uma estimativa dos limites da UC;555682702;26/08/2011 16:00:33;sexta-feira, 26 de agosto de 2011
1.076;0000.00.1076;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO PRIMAVERA;Federal;Reserva Particular do Patrimônio Natural;Category IV;SP;2000;2000;Portaria 37 de 20/06/2000;Sem informação.;SÃO LUIZ DO PARAITINGA (SP);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;19;19;19;;0;0;0;19;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;Mata Atlântica;Polígono é uma estimativa dos limites da UC;555682633;26/08/2011 16:00:33;sexta-feira, 26 de agosto de 2011
1.077;0000.00.1077;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FONTE DA BICA;Federal;Reserva Particular do Patrimônio Natural;Category IV;SE;1999;1999;Portaria 70 de 13/09/1999;Sem informação.;AREIA BRANCA (SE);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;0;13;13;13;;0;0;0;13;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;;Polígono é uma representação esquemática da localização da UC;555682766;26/08/2011 16:00:33;sexta-feira, 26 de agosto de 2011
1.078;0000.00.1078;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA RIO DAS FURNAS;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2002;2002;Portaria 61 de 18/04/2002;Sem informação.;ALFREDO WAGNER (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;10;10;10;;0;0;0;10;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;Mata Atlântica;Polígono corresponde ao memorial descritivo;555600158;26/08/2011 16:00:33;sexta-feira, 26 de agosto de 2011
1.079;0000.00.1079;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DO CARAGUATÁ I;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;1990;1990;Portaria 645 de 03/05/1990;Sem informação.: Sem informação.;ANTÔNIO CARLOS (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;0;900;900;1.854;;0;0;0;900;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;Mata Atlântica;Polígono é uma estimativa dos limites da UC;555682497;26/08/2011 16:00:33;sexta-feira, 26 de agosto de 2011
1.080;0000.00.1080;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DO CARAGUATÁ II;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;1998;1998;Portaria 01/98-N de 14/05/1998;Sem informação.: Sem informação.;ANTÔNIO CARLOS (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;0;559;559;559;;0;0;0;559;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;Mata Atlântica;Polígono é uma estimativa dos limites da UC;555682498;26/08/2011 16:00:33;sexta-feira, 26 de agosto de 2011
1.081;0000.00.1081;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL EMILIO FIORENTINO BATTISTELLA;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2002;2002;Portaria 53 de 18/04/2002;Sem informação.: Sem informação. - Sem informação.: Sem informação.;CORUPÁ (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;1.157;1.157;1.156;;0;0;0;1.157;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;Mata Atlântica;Polígono corresponde ao memorial descritivo;555600006;26/08/2011 16:00:33;sexta-feira, 26 de agosto de 2011
1.082;0000.00.1082;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL NORMANDO TEDESCO;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;1999;1999;Portaria 57-N/1999 de 09/07/1999;Sem informação.;BALNEÁRIO CAMBORIÚ (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;0;4;4;4;;0;0;0;4;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;1;1;;;;;;Polígono é uma representação esquemática da localização da UC;555682858;26/08/2011 16:00:33;sexta-feira, 26 de agosto de 2011
1.083;0000.00.1083;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA PALMITAL;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;1992;1992;Portaria 70 de 25/06/1992;Sem informação.;ITAPOÁ (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;0;591;591;591;;0;0;0;591;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;1;1;;;;;;Polígono é uma representação esquemática da localização da UC;555682494;26/08/2011 16:00:33;sexta-feira, 26 de agosto de 2011
1.084;0000.00.1084;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NATURAL MENINO DEUS;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;1999;1999;Portaria 85 de 06/10/1999;Sem informação.;FLORIANÓPOLIS (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;16;16;16;;0;0;0;16;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;1;1;;;;;Mata Atlântica;Polígono é uma estimativa dos limites da UC;555682493;26/08/2011 16:00:33;sexta-feira, 26 de agosto de 2011
1.085;0000.00.1085;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PRIMA LUNA;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2001;2001;Portaria 100 de 03/09/2001;Sem informação.;NOVA TRENTO (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;100;100;100;;0;0;0;100;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;Mata Atlântica;Polígono corresponde ao memorial descritivo;555600042;26/08/2011 16:00:33;sexta-feira, 26 de agosto de 2011
1.086;0000.00.1086;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARQUE ECOLÓGICO ARTEX;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;1992;1993;Portaria 143-N de 30/12/1992;Sem informação.;BLUMENAU (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;0;5.296;5.296;5.296;;0;0;0;5.296;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;;Polígono é uma representação esquemática da localização da UC;555682813;26/08/2011 16:00:33;sexta-feira, 26 de agosto de 2011
1.088;0000.00.1088;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA ARAUCÁRIA;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2000;2000;Portaria 41 de 09/08/2000;Sem informação.;SÃO JOAQUIM (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;50;50;50;;0;0;0;50;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;;Polígono é uma estimativa dos limites da UC;555682490;26/08/2011 16:00:34;sexta-feira, 26 de agosto de 2011
1.089;0000.00.1089;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA POUSADA SERRA PITOCO;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;1997;1997;Portaria 40 de 30/04/1997;Sem informação.;ITUPORANGA (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;0;3;3;3;;0;0;0;3;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;;Polígono é uma representação esquemática da localização da UC;555682496;26/08/2011 16:00:34;sexta-feira, 26 de agosto de 2011
1.090;0000.00.1090;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DO CARAGUATÁ III;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;1990;1998;Portaria 061/98-N de 03/05/1990;Retificação: Portaria Retificação de 17/06/1998;ANTÔNIO CARLOS (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;0;1.854;1.854;559;;0;0;0;1.854;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;Mata Atlântica;Polígono é uma estimativa dos limites da UC;555682499;26/08/2011 16:00:34;sexta-feira, 26 de agosto de 2011
1.091;0000.00.1091;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CHÁCARA EDITH;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2001;2001;Portaria 158 de 24/10/2001;Sem informação.;BRUSQUE (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;416;416;416;;0;0;0;416;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;Mata Atlântica;Polígono corresponde ao memorial descritivo;555600175;26/08/2011 16:00:34;sexta-feira, 26 de agosto de 2011
1.092;0000.00.1092;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BIO ESTAÇÃO ÁGUAS CRISTALINAS;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2002;2002;Portaria 19 de 05/02/2002;Sem informação.;BRUSQUE (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;0;103;103;103;;0;0;0;103;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;Mata Atlântica;Polígono é uma estimativa dos limites da UC;555682485;26/08/2011 16:00:34;sexta-feira, 26 de agosto de 2011
1.093;0000.00.1093;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BARRA DO RIO DO MEIO;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;1999;1999;Portaria 23 de 23/02/1999;Sem informação.;SANTA ROSA DE LIMA (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;10;10;10;;0;0;0;10;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;Mata Atlântica;Polígono corresponde ao memorial descritivo;555682492;26/08/2011 16:00:34;sexta-feira, 26 de agosto de 2011
1.094;0000.00.1094;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MORRO DA PALHA;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2002;2002;Portaria 62 de 18/04/2002;Sem informação.;SÃO FRANCISCO DO SUL (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;7;7;7;;0;0;0;7;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;1;1;;;;;Mata Atlântica;Polígono é uma estimativa dos limites da UC;555682486;26/08/2011 16:00:34;sexta-feira, 26 de agosto de 2011
1.095;0000.00.1095;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MORRO DAS ARANHAS;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;1999;1999;Portaria 43 de 11/05/1999;Sem informação.;FLORIANÓPOLIS (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;44;44;44;;0;0;0;44;0;0;0;Mata Atlântica;0,3%;Uso Sustentável;0;1;;1;1;1;;;;;Mata Atlântica;Polígono é uma estimativa dos limites da UC;555682786;26/08/2011 16:00:34;sexta-feira, 26 de agosto de 2011
1.096;0000.00.1096;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ANO BOM;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2001;2001;Portaria 167 de 14/11/2001;Sem informação.;SÃO BENTO DO SUL (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;87;87;88;;0;0;0;87;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;Mata Atlântica;Polígono é uma estimativa dos limites da UC;555682489;26/08/2011 16:00:34;sexta-feira, 26 de agosto de 2011
1.097;0000.00.1097;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CAETEZAL;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2001;2001;Portaria 168 de 14/11/2001;Sem informação.;JOINVILLE (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;4.582;4.582;4.614;;0;0;0;4.582;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;1;1;;;;;Mata Atlântica;Polígono é uma estimativa dos limites da UC;555682487;26/08/2011 16:00:34;sexta-feira, 26 de agosto de 2011
1.098;0000.00.1098;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA BUGERKOPF;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;1992;1993;Portaria 148 de 30/12/1992;Sem informação.;BLUMENAU (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;82;82;83;;0;0;0;82;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;Mata Atlântica;Polígono é uma estimativa dos limites da UC;555682495;26/08/2011 16:00:34;sexta-feira, 26 de agosto de 2011
1.099;0000.00.1099;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GRALHA AZUL;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2000;2000;Portaria 27 de 27/04/2000;Sem informação.;ÁGUA DOCE (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;0;49;49;49;;0;0;0;49;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;;Polígono é uma representação esquemática da localização da UC;555682483;26/08/2011 16:00:34;sexta-feira, 26 de agosto de 2011
1.100;0000.00.1100;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DO GUAXINIM;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2001;2001;Portaria 66 de 21/05/2001;Sem informação.;SÃO JOSÉ (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;0;26;26;26;;0;0;0;26;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;1;1;;;;;;Polígono é uma representação esquemática da localização da UC;555682488;26/08/2011 16:00:34;sexta-feira, 26 de agosto de 2011
1.101;0000.00.1101;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PASSARIM;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2004;2004;Portaria 21/2004-N de 05/03/2004;Sem informação.;PAULO LOPES (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;228;228;226;;0;0;0;228;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;1;1;;;;;Mata Atlântica;Polígono corresponde ao memorial descritivo;555600146;26/08/2011 16:00:34;sexta-feira, 26 de agosto de 2011
1.102;0000.00.1102;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO DAS LONTRAS;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2005;2009;Portaria 34 de 03/04/2005;Ampliação: Portaria 40 de 14/05/2009;SÃO PEDRO DE ALCÂNTARA (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;20;20;18;;0;0;0;20;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;Mata Atlântica;Polígono corresponde ao memorial descritivo;555600107;26/08/2011 16:00:34;sexta-feira, 26 de agosto de 2011
1.103;0000.00.1103;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DO CAPÃO GRANDE;Federal;Reserva Particular do Patrimônio Natural;Category IV;RS;1998;1998;Portaria 98/98-N de 13/07/1998;Sem informação.;BARRA DO RIBEIRO (RS);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;9;9;9;;0;0;0;0;9;0;0;Pampa;0,0%;Uso Sustentável;0;1;;0;1;1;;;;;Mata Atlântica;Polígono é uma estimativa dos limites da UC;555682467;26/08/2011 16:00:34;sexta-feira, 26 de agosto de 2011
1.104;0000.00.1104;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL COSTA DO SERRO;Federal;Reserva Particular do Patrimônio Natural;Category IV;RS;2000;2000;Portaria 30 de 09/06/2000;Sem informação.;PORTO ALEGRE (RS);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;8;8;8;;0;0;0;0;8;0;0;Pampa;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;Mata Atlântica;Polígono é uma estimativa dos limites da UC;555682480;26/08/2011 16:00:35;sexta-feira, 26 de agosto de 2011
1.105;0000.00.1105;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTÂNCIA SANTA IZABEL DO BUTUÍ;Federal;Reserva Particular do Patrimônio Natural;Category IV;RS;1996;1996;Portaria 94/96-N de 25/10/1996;Sem informação.;SÃO BORJA (RS);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;132;132;135;;0;0;0;0;132;0;0;Pampa;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;;Polígono é uma estimativa dos limites da UC;555682725;26/08/2011 16:00:35;sexta-feira, 26 de agosto de 2011
1.106;0000.00.1106;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RECANTO DO ROBALO;Federal;Reserva Particular do Patrimônio Natural;Category IV;RS;2002;2002;Portaria 57 de 18/04/2002;Sem informação.;TORRES (RS);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;10;10;10;;0;0;0;10;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;1;1;;;;;Mata Atlântica;Polígono é uma estimativa dos limites da UC;555682471;26/08/2011 16:00:30;sexta-feira, 26 de agosto de 2011
1.107;0000.00.1107;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA PARTICULAR SCHUSTER;Federal;Reserva Particular do Patrimônio Natural;Category IV;RS;1992;1992;Portaria 20 de 04/02/1992;Sem informação.;HUMAITÁ (RS);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;0;4;4;4;;0;0;0;4;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;;Polígono é uma representação esquemática da localização da UC;555682809;26/08/2011 16:00:35;sexta-feira, 26 de agosto de 2011
1.108;0000.00.1108;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JARDIM DA PAZ;Federal;Reserva Particular do Patrimônio Natural;Category IV;RS;2001;2001;Portaria 53 de 23/04/2001;Sem informação.;PORTO ALEGRE (RS);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;2;2;2;;0;0;0;0;2;0;0;Pampa;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;Mata Atlântica;Polígono é uma estimativa dos limites da UC;555682473;26/08/2011 16:00:35;sexta-feira, 26 de agosto de 2011
1.110;0000.00.1110;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GRANJA SÃO ROQUE - RESERVA DO PAREDÃO;Federal;Reserva Particular do Patrimônio Natural;Category IV;RS;1997;1997;Portaria 127/97-N de 27/10/1997;Sem informação.;SÃO FRANCISCO DE ASSIS (RS);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;137;137;140;;0;0;0;0;137;0;0;Pampa;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;;Polígono é uma estimativa dos limites da UC;555682479;26/08/2011 16:00:35;sexta-feira, 26 de agosto de 2011
1.111;0000.00.1111;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO PORTO DA CAPELA;Federal;Reserva Particular do Patrimônio Natural;Category IV;RS;1995;1995;Portaria 62-N de 24/08/1995;Sem informação.;PORTO ALEGRE (RS);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;14;14;14;;0;0;0;0;14;0;0;Pampa;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;Mata Atlântica;Polígono é uma estimativa dos limites da UC;555682477;26/08/2011 16:00:35;sexta-feira, 26 de agosto de 2011
